title,price,overview,popularity,release_date,runtime,tagline,,vote_average,vote_count,,original_language,original_title
The Sandlot,6.99,"Scotty Smalls moves to a new neighborhood with his mom and stepdad, and wants to learn to play baseball. The neighborhood baseball guru Rodriquez takes Smalls under his wing. They fall into adventures involving baseball, treehouse sleep-ins, the desirous lifeguard at the local pool, the snooty rival ball team, and the travelling fair.",10.392243,07/04/1993,101,A piece of paradise a half block wide and a whole summer long.,,7.1,272,,en,The Sandlot
Don't Look Now,6.99,"After Laura and John Baxter lose their only child in a horrible drowning, they are greeted by strange sightings of her throughout their everyday lives. When two old ladies approach them in Italy with news that their daughter may still be alive, it seems too good to be true. Perhaps it is...",5.966221,03/12/1973,110,Pass the warning.,,7.1,197,,en,Don't Look Now
The Bad and the Beautiful,6.99,"Told in flashback form, the film traces the rise and fall of a tough, ambitious Hollywood producer Jonathan Shields, as seen through the eyes of various acquaintances, including a writer James Lee Bartlow, a star Georgia Lorrison and a director Fred Amiel. He is a hard-driving, ambitious man who ruthlessly uses everyone - including the writer, star and director - on the way to becoming one of Hollywood's top movie makers.",3.12508,25/12/1952,118,I took you out of the gutter . . . I can fling you back!,,7.4,43,,en,The Bad and the Beautiful
Sleuth,7.99,"The mystery stage play by Anthony Shaffer was adapted by the author into this stylish film from director Joseph L. Manciewicz. Laurence Olivier stars as Andrew Wyke, a best-selling author of detective fiction living in a grand 16th century mansion. Andrew is visited by Milo Tindle (Michael Caine), owner of a hair salon chain, and reveals to his guest that he's aware of Milo's affair with his wife Marguerite. Rather than being vengeful, however, Andrew professes he's glad to be rid of his troublesome spouse. To avoid paying heavy alimony, Andrew suggests that Milo disguise himself as a clown and steal his wife's expensive jewelry. That way Marguerite and Milo can obtain financial security while Andrew claims the loss on his insurance and all walk away rich. Andrew's plan is a devious one, however, designed to toy with his wife's lover, and a series of deceptions and counter-deceptions are launched in which nothing is as it seems.",10.387423,10/12/1972,138,"If it was murder, where's the body?",,7.5,152,,en,Sleuth
Maryam,7.99,An Iranian-born teenager living in suburban New Jersey thinks of herself as simply an American until anti-Iranian sentiment erupts in her community after American hostages are held in Iran.,0.147295,22/02/2002,87,Cultures clash. Hearts break. People change.,,8,1,,en,Maryam
Under the Skin,7.99,"Although married and pregnant Rose has always been Mother's favorite, it is younger sister Iris whose life is shaken up by Mother's death. Suffocating, Iris spirals out of control and copes by losing herself in sexual oblivion. She leaves her steady, Gary, for a steady stream of one night stands in the arms of mysterious strangers, alienating Gary, Rose, her friends, and her employers in the process. Will this go on until she loses everything that is meaningful to her?",0.364631,28/11/1997,82,Your body betrays your soul.,,7.6,7,,en,Under the Skin
Scarlet Street,7.99,A man in mid-life crisis befriends a young woman after rescuing her from an attack. She believes he is rich and her boyfriend persuades her to con him out of his fortune.,6.360746,28/12/1945,103,The things she does to men can end only one way - in murder!,,7.7,70,,en,Scarlet Street
Gloria,6.99,"When a young boy's family is killed by the mob, their tough neighbor Gloria becomes his reluctant guardian. In possession of a book that the gangsters want, the pair go on the run in New York.",10.0534,01/10/1980,123,And she's out to beat the mob at their own game.,,7.2,35,,en,Gloria
Lion of the Desert,7.99,"This movie tells the story of Omar Mukhtar, an Arab Muslim rebel who fought against the Italian conquest of Libya in WWII. It gives western viewers a glimpse into this little-known region and chapter of history, and exposes the savage means by which the conquering army attempted to subdue the natives.",2.875229,17/04/1981,173,He was a man of honor in a war without any.,,7.5,36,,en,Lion of the Desert
The Long Good Friday,6.99,"In the late 1970s, Cockney crime boss Harold Shand, a gangster trying to become a legitimate property mogul, has big plans to get the American Mafia to bankroll his transformation of a derelict area of London into the possible venue for a future Olympic Games. However, a series of bombings targets his empire on the very weekend the Americans are in town. Shand is convinced there is a traitor in his organization, and sets out to eliminate the rat in typically ruthless fashion.",11.693374,01/11/1980,114,Who lit the fuse that tore Harold's world apart?,,7.1,87,,en,The Long Good Friday
The Ninth Configuration,6.99,"Col. Vincent Kane is a military psychiatrist who takes charge of an army mental hospital situated in a secluded castle. Among Kane's many eccentric patients is Capt. Billy Cutshaw, a troubled astronaut in the midst of an existential crisis. Although Kane's own grasp on sanity is questionable, he manages to engage Cutshaw in a series of thoughtful conversations about science and faith that deeply affect the lives of both men.",3.491636,29/02/1980,118,How do you fight a war called madness?,,7.1,32,,en,The Ninth Configuration
Ice Age,6.99,"With the impending ice age almost upon them, a mismatched trio of prehistoric critters – Manny the woolly mammoth, Diego the saber-toothed tiger and Sid the giant sloth – find an orphaned infant and decide to return it to its human parents. Along the way, the unlikely allies become friends but, when enemies attack, their quest takes on far nobler aims.",17.328902,10/03/2002,81,They came. They thawed. They conquered.,,7.1,3954,,en,Ice Age
The Ghost Breakers,6.99,"Mary Carter inherits her family's ancestral home, located on a small island off Cuba, and, despite warnings and death threats, decides to take possesion of the reputedly haunted castle. She is joined by radio broadcaster Larry Lawrence who, believing he has killed a mob gunsel, flees New York with his butler, Alex. Once on the island the threesome enter the eerie castle and after viewing the ghost of one of Mary's ancestors and fighting off a menacing zombie, they find the key to the castle's treasure but are interrupted by an all-too-human foe.",3.943187,21/06/1940,85,"The two stars of ""The Cat and the Canary"" find love and laughter in a haunted house!",,7.1,10,,en,The Ghost Breakers
Road to Morocco,6.99,"Two carefree castaways on a desert shore find an Arabian Nights city, where they compete for the luscious Princess Shalmar.",2.034301,10/11/1942,82,You'll Shriek At These Shieks! . . . trying the double - Oh! on Sheikess Dorothy Lamour!,,7.4,17,,en,Road to Morocco
Serial,6.99,"It's the end of the 70s. Hippies are assimilating, women are raising their consciousness, and men are becoming confused and ineffectual. Don't expect to be able to keep track of all the names or who's sleeping with who; the picture very skillfully conveys the hopeless muddle through which the many characters move as they try to find themselves.",0.448461,28/03/1980,86,"""Honor thy wife, and everyone else's.""",,7.2,4,,en,Serial
Slap Shot,6.99,"Located in the US Rust Belt, Charlestown is home of the hapless Chiefs, a losing Federal League hockey team whose games are poorly attended. To make money, the team's unknown owner makes its manager, Joe McGrath, do cheesy publicity much to the players' chagrin. Rumors abound among the players that if the local mill closes, the team will fold. Just before the official announcement is made, the team's aging player/coach, Reggie Dunlop, does get wind that the mill is indeed closing and that this season will be the team's last. Beyond efforts to reconcile with his wife Francine, who loves Reggie but doesn't love his career, Reggie begins to focus on how to renew interest in the team for a possible sale as he knows if the team folds, his hockey career is over. Without telling anyone of his plan, he begins a rumor that the owner is negotiating a sale with a city in Florida.",9.282077,25/02/1977,123,Slap Shot out slaps... out swears... out laughs...,,7.1,102,,en,Slap Shot
3:10 to Yuma,6.99,"Dave Evans, a small time farmer, is hired to escort Ben Wade, a dangerous outlaw, to Yuma. As Evans and Wade wait for the 3:10 train to Yuma, Wade's gang is racing to free him.",15.931069,07/08/1957,92,The Lonesome Whistle of a Train... bringing the gallows closer to a desperado--the showdown nearer to his captor!,,7.1,77,,en,3:10 to Yuma
Lenny,6.99,"The story of acerbic 1960s comic Lenny Bruce, whose groundbreaking, no-holds-barred style and social commentary was often deemed by the Establisment as too obscene for the public.",7.285627,10/11/1974,111,Lenny's Time Has Finally Come!,,7.2,42,,en,Lenny
Butterflies Are Free,6.99,"Striving to be independent, the blind but determined Don Baker (Edward Albert) moves away from his overprotective mother (Eileen Heckart, who won an Oscar). After settling into his new San Francisco digs, Don meets kooky neighbor Jill Tanner (Goldie Hawn). Don's quick wit and good looks disarm the free-spirited Jill, and before long they're more than just friends. Will Mrs. Baker's incessant meddling destroy Don and Jill's budding relationship?",2.700782,06/07/1972,109,I Could Love You If You'd Let Me,,7.3,17,,en,Butterflies Are Free
I Want to Live!,6.99,"Barbara Graham is a woman with dubious moral standards, often a guest in seedy bars. She has been sentenced for some petty crimes. Two men she knows murder an older woman. When they get caught they start to think that Barbara has helped the police arresting them. As a revenge they tell the police that Barbara is the murderer.",3.930136,18/11/1958,120,Barbara Graham's Last Scream From Gas Chamber...,,7.2,21,,en,I Want to Live!
The Last Waltz,7.99,"Martin Scorsese's rockumentary intertwines footage from ""The Band's"" incredible farewell tour with probing backstage interviews and featured performances by Eric Clapton, Bob Dylan, Joni Mitchell, Ringo Starr and other rock legends.",2.969857,01/05/1978,117,It Started as a Concert. It Became a Celebration.,,7.9,64,,en,The Last Waltz
Spirit: Stallion of the Cimarron,6.99,"As a wild stallion travels across the frontiers of the Old West, he befriends a young human and finds true love with a mare.",16.724836,24/05/2002,83,Leader. Hero. Legend.,,7.4,870,,en,Spirit: Stallion of the Cimarron
The Bourne Identity,6.99,"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy – but who does he work for?",21.040126,14/06/2002,119,He was the perfect weapon until he became the target.,,7.3,3640,,en,The Bourne Identity
Hombre,6.99,"John Russell, disdained by his ""respectable"" fellow stagecoach passengers because he was raised by Indians, becomes their only hope for survival when they are set upon by outlaws.",8.019495,21/03/1967,111,Hombre means man... Paul Newman is Hombre!,,7.2,55,,en,Hombre
She Wore a Yellow Ribbon,6.99,"After Custer and the 7th Cavalry are wiped out by Indians, everyone expects the worst. Capt. Nathan Brittles is ordered out on patrol but he's also required to take along Abby Allshard, wife of the Fort's commanding officer, and her niece, the pretty Olivia Dandridge, who are being evacuated for their own safety. Brittles is only a few days away from retirement and Olivia has caught the eye of two of the young officers in the Company, Lt. Flint Cohill and 2nd Lt. Ross Pennell. She's taken to wearing a yellow ribbon in her hair, a sign that she has a beau in the Cavalry, but refuses to say for whom she is wearing it.",7.715087,22/10/1949,103,John Ford's New and Finest Picture of the Fighting Cavalry!,,7.1,61,,en,She Wore a Yellow Ribbon
Traces of Red,6.99,"Jack, a Palm Beach detective, becomes involved in a case of multiple murders. All the women can be linked to Jack in some way. Jack and his partner have no leads, but numerous suspects. The murders continue, along with anonymous letters from the killer.",0.575656,13/11/1992,105,No one is beyond suspicion.,,7.3,4,,en,Traces of Red
Lilo & Stitch,6.99,"A lonely Hawaiian girl named Lilo is being raised by her older sister, Nani, after their parents die -- under the watch of social worker Cobra Bubbles. When Lilo adopts a funny-looking dog and names him ""Stitch,"" she doesn't realize her new best friend is a wacky alien created by mad scientist Dr. Jumba.",18.469238,21/06/2002,85,He's coming to our galaxy.,,7.1,1371,,en,Lilo & Stitch
Minority Report,6.99,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",20.666063,20/06/2002,145,The system is perfect until it comes after you.,,7.1,2663,,en,Minority Report
Me Without You,6.99,"During a long, hot summer in seventies London, young neighbors Holly and Marina make a childhood pact to be friends forever. For Marina, troubled, fiercely independent, determined to try everything, Holly stays the only constant in a life of divorcing parents, experimental drugs and fashionable self-destruction. But for Holly, a friendship that has never been equal gradually starts to feel like a trap.",7.576878,01/11/2001,107,...best friends forever?,,7.1,19,,en,Me Without You
Road to Perdition,6.99,"Mike Sullivan works as a hit man for crime boss John Rooney. Sullivan views Rooney as a father figure, however after his son is witness to a killing, Mike Sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him.",13.426684,12/07/2002,117,Pray for Michael Sullivan.,,7.3,1102,,en,Road to Perdition
The Importance of Being Earnest,6.99,Jack Worthing and Algernon Moncrieff are two men that are both pretending to be someone they are not.,2.328043,02/06/1952,95,"They don't come any wilder than Oscar Wilde's classic comedy of manners, morals and morality!",,7.4,23,,en,The Importance of Being Earnest
1776,6.99,"The film focuses on the representatives of the Thirteen original colonies who participated in the Second Continental Congress. 1776 depicts the three months of deliberation (and, oftentimes, acrimonious debate) that led up to the signing of one of the most important documents in the History of the United States, the Declaration of Independence.",1.558517,09/11/1972,142,The award winning musical comes to the screen!,,7.1,20,,en,1776
Fathom,6.99,"While touring abroad in Europe, beautiful American skydiver Fathom Harvill gets wrapped up in international intrigue when Scottish spy Douglas Campbell recruits her to help him on a secret mission. Before long, Fathom realizes that no one around her, including the mysterious Peter Merriweather, can easily be trusted, leading to various adventures that involve bull fighting, beaches and, of course, romance.",0.531514,13/12/1967,99,The world's most uncovered undercover agent!,,7.1,7,,en,Fathom
The Mack,6.99,Goldie returns from five years at the state pen and winds up king of the pimping game. Trouble comes in the form of two corrupt white cops and a crime lord who wants him to return to the small time.,1.392731,04/04/1973,110,There's a new kind of hero on the streets!,,7.2,20,,en,The Mack
The Wanderers,6.99,The streets of the Bronx are owned by 60’s youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ‘The Wanderers.’,3.386374,13/07/1979,117,It was the Wanderer's Against The World...,,7.2,55,,en,The Wanderers
The Ladykillers,6.99,"A gang of five diverse oddball criminal types rent a two room apartment in an isolated house on a London cul-de-sac from an octogenarian widow with three pet parrots. The group's mastermind, Professor Marcus, tells her a cover story that they are members of an amateur string quintet and would like to use the rooms to hone their musical skills. In reality, they're plotting to rob a bank and plan to use Mrs. Wilberforce's naiveté and her Victorian sensibilities to their advantage.",12.509812,08/12/1955,91,"Who was that lady I saw you outwit last night? That was no lady...That was 'Mum' Wilberforce, ...",,7.3,104,,en,The Ladykillers
The Lavender Hill Mob,6.99,A meek bank clerk who oversees the shipment of bullion joins with an eccentric neighbor to steal gold bars and smuggle them out of the country as miniature Eiffel Towers.,4.546546,21/06/1951,81,The men who broke the bank - and lost the cargo!,,7.3,60,,en,The Lavender Hill Mob
Charly,7.99,"Sam Roberts thinks he has all the answers: the purpose of life, the meaning of love, the plan for a perfect future. Until Charly walks into his life.",0.775503,20/09/2002,103,Real Love Stories Have No Ending,,7.6,6,,en,Charly
The Pride of the Yankees,6.99,"The story of the life and career of the baseball hall of famer, Lou Gehrig.",2.40977,14/07/1942,128,"Intimate and thrilling drama of a hero of the headlines... the girl who had his love and shared his life, but dared not question his one secret!",,7.1,37,,en,The Pride of the Yankees
Horror of Dracula,6.99,"After Jonathan Harker attacks Dracula at his castle (apparently somewhere in Germany), the vampire travels to a nearby city, where he preys on the family of Harker's fiancée. The only one who may be able to protect them is Dr. van Helsing, Harker's friend and fellow-student of vampires, who is determined to destroy Dracula, whatever the cost.",8.355326,08/05/1958,82,Who will his bride be tonight?,,7.2,124,,en,Horror of Dracula
The Fan,6.99,"A record store clerk is an obsessed fan of an actress of stage and screen (Lauren Bacall). However when his letters are rejected, the fan strikes out at the actresses friends, then at her.",0.519465,15/05/1981,95,The final act is murder.,,7.3,7,,en,The Fan
Shamus,7.99,"New York private eye Shamus McCoy likes girls, drink and gambling, but by the look of his flat business can't be too hot. So an offer of $10,000 to finds some diamonds stolen in a daring raid with a flame-thrower is too good to miss. His investigations soon get pretty complicated and rather too dangerous. At least along the way he does get to meet Alexis.",0.674968,31/01/1973,106,"SHAMUS a pool-shooting, card-playing, broad-chasing, private eye...cross him, and he'll blow your head off!",,7.6,5,,en,Shamus
Bowling for Columbine,6.99,"Why do 11,000 people die in America each year at the hands of gun violence? Talking heads yelling from every TV camera blame everything from Satan to video games. But are we that much different from many other countries? What sets us apart? How have we become both the master and victim of such enormous amounts of violence? This is not a film about gun control. It is a film about the fearful heart and soul of the United States, and the 280 million Americans lucky enough to have the right to a constitutionally protected Uzi. From a look at the Columbine High School security camera tapes to the home of Oscar-winning NRA President Charlton Heston, from a young man who makes homemade napalm with The Anarchist's Cookbook to the murder of a six-year-old girl by another six-year-old, Bowling for Columbine is a journey through America, through our past, hoping to discover why our pursuit of happiness is so riddled with violence.",11.393859,09/10/2002,120,One nation under the gun.,,7.3,467,,en,Bowling for Columbine
Times Square,6.99,Two ill-matched teenage girls form a punk band and soon have New York by its ears.,0.02158,17/10/1980,111,"In the heart of Times Square, a poor girl becomes famous, a rich girl becomes courageous, and both become friends.",,7.4,9,,en,Times Square
...All the Marbles,6.99,A two-bit promoter tries to take a women's wrestling team to the top.,1.417079,16/10/1981,113,The California Dolls and their best friend Harry...Together they're going for...All The Marbles,,7.3,7,,en,...All the Marbles
All Night Long,6.99,"Executive George Dupler loses his temper and is demoted to the night manager at a 24 hour drugstore. After he suggests to his teenage son Freddie that he stop having an affair with suburban housewife Cheryl Gibbons, who is a distant cousin, Cheryl tries to seduce George. At home, in front of his mother, Freddie accuses his dad of stealing his girl, because he found Cheryl serving George a meal in the middle of the night, while her husband Bobby was on duty at the fire station. George then separates from his wife Helen, quits his job, moves into a warehouse, and asks Cheryl to move in with him",0.708186,06/03/1981,87,She's got a way with men. And she's getting away with it...,,7.3,3,,en,All Night Long
Blow Out,6.99,"Jack Terry is a master sound recordist who works on grade-B horror movies. Late one evening, he is recording sounds for use in his movies when he hears something unexpected through his sound equipment and records it. Curiosity gets the better of him when the media become involved, and he begins to unravel the pieces of a nefarious conspiracy. As he struggles to survive against his shadowy enemies and expose the truth, he does not know whom he can trust.",7.536295,24/07/1981,108,Murder has a sound all of its own!,,7.3,243,,en,Blow Out
First Monday in October,7.99,"For the first time in history a woman is appointed to the U.S. Supreme Court, where she becomes a friendly rival to a liberal associate.",0.384338,21/08/1981,98,"In the Supreme Court, there are only eight of them against all of her.",,7.7,3,,en,First Monday in October
Gallipoli,6.99,"As World War I rages, brave and youthful Australians Archy and Frank, both agile runners, become friends and enlist in the Australian and New Zealand Army Corps together. They later find themselves part of the Dardanelles Campaign on the Gallipoli peninsula, a brutal eight-month conflict which pit the British and their allies against the Ottoman Empire and left over 500,000 men dead.",7.44658,13/08/1981,112,"From a place you've never heard of, comes a story you'll never forget.",,7.1,111,,en,Gallipoli
Frida,6.99,"""Frida"" chronicles the life Frida Kahlo shared unflinchingly and openly with Diego Rivera, as the young couple took the art world by storm. From her complex and enduring relationship with her mentor and husband to her illicit and controversial affair with Leon Trotsky, to her provocative and romantic entanglements with women, Frida Kahlo lived a bold and uncompromising life as a political, artistic, and sexual revolutionary",11.283472,29/08/2002,123,Prepare to be seduced,,7.3,397,,en,Frida
Harry Potter and the Chamber of Secrets,6.99,"Ignoring threats to his life, Harry returns to Hogwarts to investigate – aided by Ron and Hermione – a mysterious series of attacks.",29.741452,13/11/2002,161,Hogwarts is back in session.,,7.4,5966,,en,Harry Potter and the Chamber of Secrets
Thief,6.99,"Frank is an expert professional safecracker, specialized in high-profile diamond heists. He plans to use his ill-gotten income to retire from crime and build a nice life for himself complete with a home, wife and kids. To accelerate the process, he signs on with a top gangster for a big score.",10.480229,27/03/1981,122,"Tonight, his take home pay is $410,000... tax free.",,7.3,130,,en,Thief
Treasure Planet,6.99,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms. But, soon, Jim realizes Silver is a pirate intent on mutiny!",16.141913,26/11/2002,95,Find your place in the universe.,,7.2,980,,en,Treasure Planet
Zulu,6.99,"In 1879, during the Zulu wars, man of the people Lt. John Chard (Stanley Baker) and snooty Lt Gonville Bromhead (Michael Caine) were in charge of defending the isolated Natal outpost of Rorke's Drift from tribal hordes, holding out during an Alamo-like siege until they are overwhelmed, losing the battle, but going down in history as heroes. 150 soldiers defended a supply station against some 4000 Zulus, aided by the Martini-Henry rifle ""with some guts behind it"".  In the hundred years since the Victoria Cross was created for valour and extreme courage beyond that normally expected of the British soldier in face of the enemy only 1344 have been awarded. Eleven of these were won by the defenders of the mission station at Rorke's Drift, Natal, January 22nd to the 23rd 1879.",11.604242,22/01/1964,138,Dwarfing the mightiest! Towering over the greatest!,,7.4,137,,en,Zulu
Adaptation.,6.99,A love-lorn script writer grows increasingly desperate in his quest to adapt the book 'The Orchid Thief'.,11.624481,06/12/2002,114,"From the creator of Being John Malkovich, comes the story about the creator of Being John Malkovich.",,7.3,649,,en,Adaptation.
Urgh! A Music War,6.99,"Urgh! A Music War is a British film released in 1981 featuring performances by punk rock, new wave, and post-punk acts of the late 70s and early 80s.",0.102459,01/01/1981,122,Stand up & dance!,,7.1,5,,en,Urgh! A Music War
Britannia Hospital,7.99,"Britannia Hospital, an esteemed English institution, is marking its gala anniversary with a visit by the Queen Mother herself. But when investigative reporter Mick Travis arrives to cover the celebration, he finds the hospital under siege by striking workers, ruthless unions, violent demonstrators, racist aristocrats, and African cannibal dictator and sinister human experiments.",2.008448,27/05/1982,116,Will they ever recover...?,,7.5,13,,en,Britannia Hospital
The Lord of the Rings: The Two Towers,7.99,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",29.423537,18/12/2002,179,A New Power Is Rising.,,8,7641,,en,The Lord of the Rings: The Two Towers
25th Hour,6.99,"The filmed adaptation from David Benioff's novel of the same name. Set in New York, a convicted drug dealer named Monty has one day left of freedom before he is sent to prison. Anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. A Spike Lee joint.",10.271871,16/12/2002,135,This life was so close to never happening.,,7.2,640,,en,25th Hour
Gangs of New York,6.99,"It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",14.922399,14/12/2002,167,America was born in the streets.,,7.1,1964,,en,Gangs of New York
The Children's Hour,7.99,A troublemaking student at a girl's school accuses two teachers of being lesbians.,7.591269,01/01/1961,107,One simple lie destroyed everything they had.,,7.5,72,,en,The Children's Hour
The Duellists,6.99,"In 1800, as Napoleon Bonaparte rises to power in France, a rivalry erupts between Armand and Gabriel, two lieutenants in the French Army, over a perceived insult. For over a decade, they engage in a series of duels amidst larger conflicts, including the failed French invasion of Russia in 1812, and shifts in the political and social systems of Europe.",5.82556,31/08/1977,100,Fencing is a science. Loving is a passion. Duelling is an obsession.,,7.1,92,,en,The Duellists
A Kiss Before Dying,6.99,"Bud Corliss (Wagner) is an ambitious student who is wooing Dorothy Kingship (Woodward) purely for her father's mining fortune. When he discovers that Dorothy is pregnant with his child, he realizes she is quite likely to be disinherited by her wealthy family. He assures Dorothy that he'll take care of her, yet he hesitates when Dorothy insists on marrying. Bud then murders Dorothy and stages it in a way that it appears to be a suicide. He then reaches out to her sister Ellen (Leith) with the hopes of marrying her in order to ingratiate himself with her father. After a couple of months Ellen finds evidence to question the suicide verdict, and then discovers Bud knew Dorothy. Ellen struggles to avenge her sister and save her own life.",2.711073,12/06/1956,94,"He had looks, charm... and killer instincts.",,7.1,11,,en,A Kiss Before Dying
The Thief of Bagdad,7.99,"When Prince Ahmad (John Justin) is blinded and cast out of Bagdad by the nefarious Jaffar (Conrad Veidt), he joins forces with the scrappy thief Abu (the incomparable Sabu, in his definitive role) to win back his royal place, as well as the heart of a beautiful princess (June Duprez).",3.428166,25/12/1940,106,GIGANTIC! The Wonder Picture of All Time!,,7.5,49,,en,The Thief of Bagdad
Catch Me If You Can,7.99,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",19.833077,25/12/2002,141,The true story of a real fake.,,7.7,3917,,en,Catch Me If You Can
The Pianist,7.99,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,14.811594,24/09/2002,150,Music was his passion. Survival was his masterpiece.,,8.1,1927,,en,The Pianist
The King of Comedy,7.99,"Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy.",9.093411,18/12/1982,109,It's No Laughing Matter.,,7.6,306,,en,The King of Comedy
American Me,6.99,"Edward J. Olmos made his directorial bow with the powerhouse crime saga American Me. Olmos stars as street-gang leader Santana, who during his 18 years in Folsom Prison rules over all the drug-and-murder activities behind bars. Upon his release, Santana goes back to his old neighborhood, intending to lead a peaceful, crime-free life. But his old gang buddies force him back into his old habits. The",3.160917,13/03/1992,125,In prison they are the law. On the streets they are the power.,,7.3,41,,en,American Me
A Little Romance,7.99,"A young American girl and a young French boy meet in Paris and fall in love, with the assistance of an old man and his stories.",3.568628,27/04/1979,108,"America is having a love affair with ""A Little Romance""",,7.5,11,,en,A Little Romance
The Smallest Show on Earth,6.99,Jean and Bill are a married couple trying to scrape a living. Out of the blue they receive a telegram informing them Bill's long-lost uncle has died and left them his business - a cinema in the town of Sloughborough. Unfortunately they can't sell it for the fortune they hoped as they discover it is falling down and almost worthless.,0.73743,09/04/1957,80,The Funniest Show on Earth!,,7.1,6,,en,The Smallest Show on Earth
The Grey Fox,6.99,"Old West highwayman Bill Miner, known to Pinkertons as ""The Gentleman Bandit,"" is released in 1901 after 33 years in prison, a genial and charming old man. He goes to Washington to live and work with his sister's family. But the world has changed much while he has been away, and he just can't adjust. So he goes to Canada and returns to the only thing familiar to him -- robbery (with stagecoaches changed to trains).",0.192513,16/12/1982,110,"In 1901, after 33 years in San Quentin Prison, Bill Miner, ""The Gentleman Bandit"", was released into the Twentieth Century.",,7.2,5,,en,The Grey Fox
Monty Python Live at the Hollywood Bowl,6.99,"Monty Python Live at the Hollywood Bowl is a 1982 concert film in which the Monty Python team perform many of their greatest sketches at the Hollywood Bowl, including several pre-Python ones.",4.160035,25/06/1982,77,"Never before in the history of human civilization has there been a movie called ""Monty Python Live at the Hollywood Bowl""",,7.2,37,,en,Monty Python Live at the Hollywood Bowl
Starstruck,7.99,A new-wave extravaganza in which a young woman wants to become the next big singer with the help of her friends and despite the wishes of her working class family.,0.039514,08/04/1982,105,A Comedy Musical.,,8,1,,en,Starstruck
Stand-In,6.99,An east coast efficiency expert who stakes his reputation on his ability to turn around a financially troubled Hollywood studio receives some help from a former child star who now works as a stand-in for the studio.,0.57266,29/10/1937,91,Hail! The conquering hero comes!,,7.2,3,,en,Stand-In
A Patch of Blue,7.99,"A blind, uneducated white girl is befriended by a black man, who becomes determined to help her escape her impoverished and abusive home life.",2.46167,10/12/1965,105,Love is color blind.,,7.6,27,,en,A Patch of Blue
The Life of David Gale,6.99,A man against capital punishment is accused of murdering a fellow activist and is sent to death row.,9.930326,21/02/2003,130,The crime is clear. The truth is not.,,7.3,497,,en,The Life of David Gale
The Safety of Objects,6.99,A series of overlapping stories about four suburban families dealing with different maladies. Esther Gold's life is consumed by caring for her comatose son; Jim Train is sent into a tailspin when he's passed over for a promotion; Annette Jennings' family is struggling in the wake of her divorce; Helen Christianson is determined to shake up her mundane life.,1.460923,25/10/2002,121,What do you hold on to when your world turns upside down?,,7.3,13,,en,The Safety of Objects
King of Kings,6.99,"Who is Jesus, and why does he impact all he meets? He is respected and reviled, emulated and accused, beloved, betrayed, and finally crucified. Yet that terrible fate would not be the end of the story.",3.657476,11/10/1961,168,"Of good and evil, of love and hate, of peace and war.",,7.2,31,,en,King of Kings
The Awful Truth,6.99,"Unfounded suspicions lead a married couple to begin divorce proceedings, whereupon they start undermining each other's attempts to find new romance.",8.105442,01/01/1937,91,Danger! Wild woman on the loose!,,7.2,48,,en,The Awful Truth
In a Lonely Place,7.99,"Dixon 'Dix' Steele, a down-on-his-luck screenwriter, needs to adapt a trashy novel. At a nightclub, the hatcheck girl, Mildred Atkinson, is engrossed reading it. Too tired to read the novel, he asks Mildred to go home with him, to explain the plot. Later that night, Mildred is murdered and Steele is a prime suspect. His record of violence when angry goes against him.",6.331826,17/05/1950,94,The Bogart suspense picture with the surprise finish -,,7.5,103,,en,In a Lonely Place
